,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,mf24oJkxIBI,43572,38,2,17,2008-11-14T22:55:37.000Z,Harry Potter and the Half Blood Prince HD Trailer 3,ROTCFetters
1,f1QACUwyllU,27808,232,2,15,2008-11-21T21:57:54.000Z,Harry Potter and the Half Blood Prince in theatre Trailer fandom,Shareen
2,pCZcym-VetQ,2893,22,13,1,2008-11-24T02:20:00.000Z,Harry Potter &amp; the Half Blood Prince Trailer,Patti Gaudet
3,TWJAB9nw1Mo,185743,304,15,90,2008-11-25T20:37:33.000Z,Harry Potter and the Half-Blood Prince Trailer,IGN
4,S6ZMA3-fN8Q,8016,76,0,22,2008-12-11T15:08:19.000Z,Harry Potter - Dark Knight Trailer 2 Mash up,centperk
5,Qo2usgfgd4E,27788,89,3,26,2009-01-23T14:25:46.000Z,Harry Potter and the Half-Blood Prince - International Trailer [Japan],Harry Potter Art
6,mhvMEYukEBI,110469,120,7,33,2009-02-07T14:46:41.000Z,Harry Potter and the Goblet of Fire PC Game Trailer,vglp33
7,KJk3n9WENek,1660,2,0,1,2009-02-14T19:44:40.000Z,Harry Potter And The Sorcerer&#39;s Stone Trailer,HarryPotterScenes
8,kZbT2Gbf9JA,1391,3,0,3,2009-02-19T17:14:47.000Z,Trailer - Harry Potter and the Half Blood Prince,feyenoorddebest
9,NU6V21OdtSs,104,1,0,0,2009-02-22T02:56:55.000Z,Harry Potter 6 Trailer #1 HD,yuffenough
10,ldl9qbfrBKc,141996,297,11,168,2009-03-05T22:54:06.000Z,Harry Potter and the Half Blood Prince Trailer # 4 New!,apnatv7HQ
11,X38VmspTOrI,17034,212,0,41,2009-03-24T06:00:38.000Z,Harry Potter and the Mamma Mia Trailer,fluffy2044
12,ZgMIlFDIPNc,922,7,0,0,2009-03-24T23:55:30.000Z,Harry Potter and the Half-Blood Prince Trailer,Roadshow Films
13,zBZ8mTtoI9I,1659352,3665,130,1171,2009-04-07T16:41:01.000Z,Rupert Grint: Cherrybomb: Official Trailer,CherrybombTrio09
14,wFrIiRIB8iA,2517,3,1,0,2009-04-10T01:50:07.000Z,Harry Potter and the Half-Blood Prince - International Trailer New!!,TMKlive
15,JF60_plqj_0,8716,30,1,19,2009-04-17T03:16:45.000Z,Harry Potter and the Half-Blood Prince Trailer (OFFICIAL-HQ),SlickGenius
